Regulator Effects for My Projects->June2014->ProprietaryMultipleRankDataSet - 2014-04-29 10:39 AM
Consistency Score	Node Total	Regulator Total	Regulators	Target Total	Target Molecules in Dataset	Disease & Function Total	Diseases & Functions	Known Regulator-Disease/Function Relationships
0.000	21	1	PPARG	19	ABCA1,CTGF,HSD11B1,IGF1,IGFBP5,IRS1,LPL,MYF6,MYOD1,NCOA6,NFE2L2,NR1H2,PDE3B,PDK4,PPARGC1A,RELA,RUNX2,UCP3,VEGFA	1	morphology of connective tissue	100% (1/1)	
0.000	9	1	MAPK1	7	BCL2,CTGF,ITGB3,LIF,NFE2L2,PDGFB,SPRY2	1	morphology of connective tissue	0% (0/1)	
0.000	15	1	MAPK1	13	BCL2,CDKN1A,HMOX1,IGFBP7,ITGB3,JUN,LIF,LMNA,NFATC1,NFE2L2,NPPA,PDGFB,TNFRSF1B	1	morphology of cardiovascular system	100% (1/1)	
0.000	7	1	KLF15	5	HADHA,NPPA,PPARG,PPARGC1A,SLC2A4	1	morphology of cardiovascular system	0% (0/1)	
0.000	7	1	KLF15	5	CTGF,PDK4,PPARG,PPARGC1A,UCP3	1	morphology of connective tissue	0% (0/1)	
0.000	5	1	T3-TR-RXR	3	AKR1C1/AKR1C2,AKR1C3,SLC16A3	1	metastasis	0% (0/1)	
0.000	5	1	motexafin gadolinium	3	MT1E,MT1F,MT1H	1	development of head	0% (0/1)	
0.000	5	1	4-nonylphenol	3	IGF1,LPL,MYC	1	morphology of cardiovascular system	0% (0/1)	
0.000	5	1	4-nonylphenol	3	FOS,IGF1,SKIL	1	formation of plasma membrane projections	0% (0/1)	
0.000	5	1	4-nonylphenol	3	IGF1,LPL,MYC	1	morphology of connective tissue	0% (0/1)	
0.000	9	1	Map4k4	7	ACACB,HADHA,HMGCL,NDUFS4,PFKM,PPARG,SLC2A4	1	morphology of cardiovascular system	0% (0/1)	
0.000	5	1	fluocinolone acetonide	3	MT1E,MT1H,SAA1	1	renal cancer	0% (0/1)	
0.000	6	1	fluocinolone acetonide	4	AQP1,MT1E,MT1H,RUNX2	1	metastasis	0% (0/1)	
0.000	7	1	fluocinolone acetonide	5	AQP1,MT1E,MT1F,MT1H,RUNX2	1	development of head	0% (0/1)	
0.000	8	1	fluocinolone acetonide	6	AQP1,MT1E,MT1F,MT1H,RUNX2,ZBTB16	1	development of body axis	0% (0/1)	
0.000	6	1	prostaglandin A2	4	CDKN1A,HMOX1,IGF1,NR4A3	1	arthritis	0% (0/1)	
0.000	6	1	prostaglandin A2	4	CDKN1A,ELAVL1,HMOX1,IGF1	1	morphology of cardiovascular system	0% (0/1)	
0.000	5	1	N-methyl-D-aspartate	3	BAX,FOS,SAA1	1	renal cancer	0% (0/1)	
0.000	6	1	N-methyl-D-aspartate	4	BAX,EGR1,FOS,SLC1A3	1	development of head	0% (0/1)	
0.000	6	1	MAP3K7	4	CCL7,CXCL2,RELA,SAA1	1	renal cancer	0% (0/1)	
0.000	7	1	MAP3K7	5	HBEGF,HMOX1,JUN,NPPA,PDGFB	1	morphology of cardiovascular system	100% (1/1)	
0.000	5	1	betaine	3	FGF2,HSPA5,SREBF1	1	liver cancer	0% (0/1)	
0.000	10	1	PPARGC1A	8	ACACB,CAT,CDKN1A,CKMT2,HMGCL,LPL,NPPA,SLC2A4	1	morphology of cardiovascular system	100% (1/1)	
0.000	6	1	ELAVL1	4	MYOD1,RPS6,SNRPG,SRSF7	1	processing of RNA	0% (0/1)	
0.000	5	1	ATF2	3	MT2A,RELA,RHOB	1	infection of epithelial cell lines	0% (0/1)	
-2.412	13	1	EGR2	11	EGR1,FGF2,HOXB3,ID2,IGF2,IL6R,JUN,LAMA2,ROBO1,SMAD1,VEGFA	1	development of cardiovascular system	0% (0/1)	
-2.667	11	1	EGR2	9	EGR1,FGF2,HOXB3,IGF2,IL6R,JUN,LAMA2,ROBO1,VEGFA	1	vasculogenesis	0% (0/1)	
-2.667	11	1	EGR2	9	EGR1,FGF2,HOXB3,IGF2,IL6R,JUN,LAMA2,ROBO1,VEGFA	1	development of blood vessel	0% (0/1)	
-3.182	10	1	hydrogen peroxide	8	BTG2,DUSP16,ETS2,HMGB1,HSPA5,NEDD4,PCBP2,TFRC	1	infection of kidney cell lines	0% (0/1)	
-3.182	10	1	hydrogen peroxide	8	BTG2,DUSP16,ETS2,HMGB1,HSPA5,NEDD4,PCBP2,TFRC	1	infection of embryonic cell lines	0% (0/1)	
-3.402	9	1	EGR2	7	FGF2,HOXB3,IGF2,JUN,LAMA2,ROBO1,VEGFA	1	angiogenesis	0% (0/1)	
-3.780	9	1	EIF2AK3	7	FGF2,IGF1,JUN,MYC,VEGFA,XBP1,ZFP36	1	Hypoplasia	0% (0/1)	
-4.082	8	1	HIF1A	6	CDKN1A,FHL2,IGF2,JUN,PDGFA,PDGFB	1	formation of muscle	0% (0/1)	
-4.158	9	1	diethylstilbestrol	7	AR,CDKN1A,IGF1,PDGFB,PDGFRB,SIX1,VEGFA	1	quantity of muscle cells	100% (1/1)	
-4.158	9	1	HDAC6	7	AR,IGF1,JUN,JUNB,MYC,PDGFB,TGFBR1	1	quantity of cells	0% (0/1)	
-4.221	13	1	IL5	11	BCL2,BCL6,CCND2,CDKN1A,CITED2,FAS,GADD45A,HBEGF,IER3,MYC,XBP1	1	morphology of cardiovascular system	0% (0/1)	
-4.491	8	1	arsenite	6	CDKN1A,FOS,FST,HMOX1,IGF1,VEGFA	1	perinatal death	0% (0/1)	
-4.491	8	1	ELF4	6	CDKN1A,CXCL2,DUSP1,KLF4,PLEC,RAP1B	1	cell death	100% (1/1)	
-4.919	7	1	RGS2	5	CEBPD,HBEGF,IL18,PPARG,SREBF1	1	apoptosis	0% (0/1)	
-4.919	7	1	miR-503-5p (miRNAs w/seed AGCAGCG)	5	ATF6,CDC25A,CDKN1A,FGF2,FGFR1	1	apoptosis	0% (0/1)	
-4.919	7	1	prostaglandin A2	5	CDKN1A,ELAVL1,HMOX1,IGF1,NR4A3	1	apoptosis	0% (0/1)	
-4.919	7	1	prostaglandin A2	5	CDKN1A,ELAVL1,HMOX1,IGF1,NR4A3	1	necrosis	100% (1/1)	
-5.367	7	1	Fgf	5	FOS,IGF1,JUN,JUNB,ODC1	1	proliferation of muscle cells	100% (1/1)	
-5.367	7	1	TNF	5	AGTR1,NPPA,RAC1,RGS4,RHOA	1	bradycardia	0% (0/1)	
-5.715	8	1	mono-(2-ethylhexyl)phthalate	6	AR,PPARG,PPARGC1A,SDHA,SLC2A4,TPI1	1	cardiomyopathy	0% (0/1)	
-6.000	6	1	EGFR	4	CDKN1A,IGF2,JUN,SPRY2	1	formation of muscle	0% (0/1)	
-6.000	6	1	DICER1	4	CDKN1A,IGF2,JUN,SPRY2	1	formation of muscle	0% (0/1)	
-6.000	6	1	miR-483-3p (miRNAs w/seed CACUCCU)	4	CTNNB1,IGF2,MAPKAPK2,SMAD4	1	angiogenesis	0% (0/1)	
-6.000	6	1	CYB5R4	4	ATF3,ATF6,DDIT3,HSPA5	1	apoptosis of fibroblast cell lines	0% (0/1)	
-6.000	6	1	betamethasone	4	CTGF,FXN,IDO1,NR3C1	1	apoptosis	0% (0/1)	
-6.000	6	1	7-ketocholesterol	4	BAX,DDIT3,EGR1,HSPA5	1	apoptosis of fibroblast cell lines	100% (1/1)	
-6.261	7	1	FBXO32	5	ALDH1A3,CCND2,CXCL3,IL1R1,OAT	1	development of head	0% (0/1)	
-6.500	6	1	farnesol	4	ATF3,CDKN1A,DDIT3,HSPA5	1	apoptosis of fibroblast cell lines	0% (0/1)	
-6.928	5	1	HSPA5	3	BAX,BCL2,DDIT3	1	apoptosis of fibroblast cell lines	100% (1/1)	
-6.928	5	1	HSPA5	3	BAX,BCL2,DDIT3	1	apoptosis of kidney cell lines	100% (1/1)	
-7.000	6	1	dibutyl phthalate	4	AR,NFKB1,POR,RELA	1	HIV infection	0% (0/1)	
-7.000	6	1	HGF	4	AKAP13,IGF1,NFKB1,RAC1	1	hypertrophy of cardiac muscle	0% (0/1)	
-7.000	6	1	dibutyl phthalate	4	AR,NFKB1,POR,RELA	1	infection by Retroviridae	0% (0/1)	
-7.000	6	1	L-glutamic acid	4	FGF2,PPARGC1A,SLC1A3,SLC25A1	1	cardiomyopathy	0% (0/1)	
-7.500	6	1	IFRD1	4	CTGF,IGF1,MYC,MYOD1	1	morphology of connective tissue	0% (0/1)	
-7.506	5	1	PTGFR	3	FOS,GDNF,NR4A1	1	quantity of cells	0% (0/1)	
-7.506	5	1	NR4A1	3	CTNNB1,G0S2,NFKBIA	1	apoptosis of cervical cancer cell lines	100% (1/1)	
-7.506	5	1	beta-estradiol	3	IL6R,NFATC3,RAC1	1	hypertrophy of myocardium	0% (0/1)	
-8.083	5	1	RBM5	3	BCL2,MCL1,TRAF1	1	apoptosis of kidney cell lines	0% (0/1)	
-8.839	10	1	NUPR1	8	BNIP3,CYR61,FOXO3,GADD45A,HK2,PARP1,PRNP,XBP1	1	apoptosis of breast cancer cell lines	0% (0/1)	
-9.827	9	1	IL1A	7	ADAMTS5,CXCL12,FAS,IL18,MT2A,NFKB1,RELA	1	infection by HIV-1	100% (1/1)	
-12.522	7	1	miR-218-5p (and other miRNAs w/seed UGUGCUU)	5	PARP1,RICTOR,RUNX2,SP1,VOPP1	1	apoptosis	0% (0/1)	
-14.000	6	1	lipopolysaccharide	4	CSF3,DAG1,NFKB1,TNNI3	1	fibrosis of myocardium	0% (0/1)	
-16.743	5	1	Collagen(s)	3	CYR61,DDIT3,LAMP2	1	cell death of fibroblast cell lines	0% (0/1)	
-16.743	5	1	MEL S3	3	COX5A,HSPA1A/HSPA1B,PRDX2	1	cell death of cervical cancer cell lines	0% (0/1)	
-16.743	5	1	phorbol myristate acetate	3	LPL,NFKB1,PTK2	1	interstitial fibrosis of heart	0% (0/1)	
-17.008	9	1	KRAS	7	CTNNB1,MYC,PAK1,PPARG,PTK2,RHOA,RHOB	1	quantity of filaments	100% (1/1)	
-17.555	8	1	miR-1 (and other miRNAs w/seed GGAAUGU)	6	BCL2,IGF1,NOTCH3,PTMA,TPM1,YWHAQ	1	proliferation of breast cancer cell lines	0% (0/1)	
-27.969	9	1	miR-122-5p (miRNAs w/seed GGAGUGU)	7	BACH2,G6PC3,HFE2,HMGB1,NFATC1,PRDX2,TRIB1	1	quantity of blood cells	0% (0/1)	
